Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.94,-69.45,90.0,top
C2,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.94,-77.45,90.0,top
C3,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.94,-85.45,90.0,top
C4,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.94,-92.45,90.0,top
C5,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.94,-99.45,90.0,top
J1,Conn_01x03,Molex_Nano-Fit_105309-xx03_1x03_P2.50mm_Vertical,144.575,-63.11,180.0,bottom
LED1,WS2812B,WS2812B,144.74,-70.89,180.0,top
LED2,WS2812B,WS2812B,144.74,-77.6825,180.0,top
LED3,WS2812B,WS2812B,144.74,-84.475,180.0,top
LED4,WS2812B,WS2812B,144.74,-91.2675,180.0,top
LED5,WS2812B,WS2812B,144.74,-98.06,180.0,top
